name,category,status,source,symbol,isin,ft_name,yahoo_name_sym,isin_sym
FED HERMES GLOBAL EMERGING MARKETS EX CHINA EQUITY FUND CLASS M ACC USD,GLOBAL,有数据,Yahoo按名称,0P0001PITB.F,,,0P0001PITB.F,
FEDERATED HERMES GLOBAL EMERGING MARKETS EQUITY FUND F USD ACCUMULATING USD,GLOBAL,有数据,Yahoo按名称,0P0001PITB.F,,,0P0001PITB.F,
FF GLOBAL DEMOGRAPHICS FUND A ACC USD,GLOBAL,有数据,Yahoo按名称,Y1B0.MU,LU0528227936,FF - Global Demographics Fund A-Acc-USD,Y1B0.MU,LU0528227936.SG
FF GLOBAL DIVIDEND PLUS FUND A ACC USD,GLOBAL,无数据,有ISIN无Yahoo数据,,LU2242646235,FF - Global Dividend Plus Fund A-Acc-USD,,
FF GLOBAL HEALTHCARE FUND A ACC USD,GLOBAL,有数据,Yahoo按名称,FJ2U.MU,,,FJ2U.MU,
FIDELITY FDS AMERICA A ACC USD USD,AMERICAN,有数据,Yahoo按名称,IPGA.HM,,,IPGA.HM,
FIDELITY FUNDS - INTERNATIONAL FUND A USD USD,INTERNATIONAL,有数据,Yahoo按名称,FJ22.F,LU1261432493,Fidelity Funds - Global Thematic Opportunities Fund A-Acc-SGD,FJ22.F,
FIDELITY FUNDS FID AMERICA A DIS USD USD,AMERICAN,有数据,Yahoo按名称,0P0001KN60.F,LU0048573561,Fidelity Funds - America Fund A-DIST,0P0001KN60.F,
FIDELITY FUNDS GLOBAL DIVIDEND EQUITY FUND A ACC USD,GLOBAL,有数据,Yahoo按名称,0P0001M4I2,,,0P0001M4I2,
FIDELITY FUNDS GLOBAL DIVIDEND EQUITY FUND A INC USD,GLOBAL,有数据,Yahoo按名称,0P0001M4I2,,,0P0001M4I2,
FIDELITY FUNDS GLOBAL DIVIDEND EQUITY FUND Y ACC USD,GLOBAL,有数据,Yahoo按名称,0P0001CZEL,,,0P0001CZEL,
FIDELITY FUNDS GLOBAL FOCUS A USD DIS USD,GLOBAL,有数据,FT-ISIN->Yahoo,IPGR.F,LU0157215616,Fidelity Funds - Global Focus Fund A-DIST-USD,IPGR.MU,IPGR.F
FIDELITY FUNDS GLOBAL INCOME FUND A ACC USD,GLOBAL,有数据,FT-ISIN->Yahoo,FJ2K.MU,LU0905233846,Fidelity Funds - Global Multi Asset Income Fund A-Acc-USD,0P0001D8Z2.BE,FJ2K.MU
FIDELITY FUNDS GLOBAL MULTI ASSET INCOME FUND Y ACC USD,GLOBAL,有数据,FT-ISIN->Yahoo,0P0000CO5U,LU0346392300,Fidelity Funds - Global Multi Asset Growth & Income Fund Y-Acc-USD,FPIN.MU,0P0000CO5U
FIDELITY FUNDS GLOBAL SHORT DURATION INCOME FUND A ACC USD,GLOBAL,有数据,Yahoo按名称,0P0000I1UY,LU0390710027,Fidelity Funds - Global Short Duration Income Fund A-Acc-USD,0P0000I1UY,
FIDELITY FUNDS LATIN AMERICA A USD DIS NAV USD,AMERICAN,有数据,FT-ISIN->Yahoo,FJRC.F,LU0050427557,Fidelity Funds - Latin America Fund A-DIST-USD,FPG4.F,FJRC.F
FIDELITY FUNDS SUSTAINABLE GLOBAL DIVIDEND PLUS FUND Y ACC USD,GLOBAL,有数据,Yahoo按名称,0P0001MNHQ,,,0P0001MNHQ,
FIDELITY GLOBAL HEALTH CARE FUND Y ACC USD,GLOBAL,有数据,Yahoo按名称,FAGRX,,,FAGRX,
FIDELITY GLOBAL INC A MINCOME(G) DIS USD,GLOBAL,有数据,Yahoo按名称,0P0001MHNW,LU0731783048,Fidelity Funds - Global Dividend Fund A-MINCOME(G)-USD,0P0001MHNW,
FIDELITY GLOBAL INCOME Y MINCOME INC USD,GLOBAL,有数据,FT-ISIN->Yahoo,0P0001AMU4,LU1622746433,Fidelity Funds - Global Multi Asset Income Fund Y-MINCOME(G)-USD,0P00008XLP.TO,0P0001AMU4
Fidelity Global Multi Asset Growth & Income Fund A USD USD,GLOBAL,有数据,Yahoo按名称,0P0001M4I2,LU0267386521,Fidelity Funds - Global Multi Asset Growth & Income Fund A-USD,0P0001M4I2,
FIDELITY GLOBAL TECHNOLOGY A USD ACC USD,GLOBAL,有数据,Yahoo按名称,0P0001DIJX.SI,LU1046421795,Fidelity Funds - Global Technology Fund A-Acc-USD,0P0001DIJX.SI,
FIDELITY INTERNATIONAL BD A ACC \$ USD,INTERNATIONAL,无数据,无结果,,,,,
FIDELITY LUX GLOBAL FINL SVCS A INC USD,GLOBAL,有数据,Yahoo按名称,0P0001MHNW,,,0P0001MHNW,
FIL INV MGMT LUX GLOBAL TECHNOLOGY Y USD ACC USD,GLOBAL,无数据,无结果,,,,,
FINCREST GLOBAL EQUITY FUND CLASS A USD,GLOBAL,无数据,无结果,,,,,
FIRST EAGLE AMUNDI INTERNATIONAL AU USD ACC USD,INTERNATIONAL,有数据,Yahoo按名称,0P00011MTY,LU0068578508,First Eagle Amundi International Fund Class AU-C Shares,0P00011MTY,LU0068578508-USD.LU
FIRST STATE GLOBAL STEWART INV GLOBAL EMERGING MARKET LEADERS I ACC USD USD,GLOBAL,有数据,Yahoo按名称,F7H0.MU,,,F7H0.MU,
FIRST STATE GLOBAL UM LISTD INFRASTRUCT I USD DIST USD,GLOBAL,有数据,Yahoo按名称,F7H0.MU,,,F7H0.MU,
FRANKLIN TEMP GLOBAL BAL A ACC USD USD,GLOBAL,有数据,Yahoo按名称,0P0000KAMO,,,0P0000KAMO,
FRANKLIN TEMP GLOBAL HI YLD MDIS \$ USD,GLOBAL,无数据,无结果,,,,TEPM.SG,
FRANKLIN TEMP GLOBAL INC A ACC USD USD,GLOBAL,无数据,无结果,,,,TESL.SG,
FRANKLIN TEMPL GLOBAL FOCUS FD A DIS USD,GLOBAL,无数据,无结果,,,,TEPM.SG,
FRANKLIN TEMPLETON FRANKLIN MUT GLOBAL DVRY A CAP USD,GLOBAL,无数据,无结果,,,,TEP8.SG,
FRANKLIN TEMPLETON GLOBAL FOCUS A ACC USD,GLOBAL,无数据,无结果,,,,TEPM.SG,
FRANKLIN TEMPLETON GLOBAL TOTAL RETURN A MDIS USD USD,GLOBAL,无数据,无结果,,,,TEPM.SG,
FRANKLIN TEMPLETON GLOBAL TOTAL RETURN FUN A ACC USD USD,GLOBAL,无数据,无结果,,,,TESL.SG,
FRANKLIN TEMPLETON LATIN AMERICA A ACC USD,AMERICAN,无数据,无结果,,,,TESR.SG,
FTGF GBL BRANDYWNE GLOBAL FIXED INCOME A USD ACC USD,GLOBAL,无数据,无结果,,,,,
FTGF GBL W/A GLOBAL HIGH YIELD A USD ACC USD,GLOBAL,无数据,无结果,,,,,
GAM STAR GLOBAL BALANCED A USD ACC USD,GLOBAL,有数据,Yahoo按名称,0P0000MXNH,,,0P0000MXNH,
GAM STAR GLOBAL BALANCED ACC USD USD,GLOBAL,有数据,Yahoo按名称,0P0000MXNH,,,0P0000MXNH,
GAM STAR GLOBAL BALANCED C USD ACC USD,GLOBAL,有数据,Yahoo按名称,0P0001J7ZC.F,,,0P0001J7ZC.F,
GAM STAR GLOBAL BALANCED F USD ACC USD,GLOBAL,有数据,Yahoo按名称,0P0000MXNH,,,0P0000MXNH,
GAM STAR GLOBAL BALANCED INSTL ACC USD,GLOBAL,有数据,Yahoo按名称,0P0000MXNH,,,0P0000MXNH,
GAM STAR GLOBAL BALANCED T USD USD,GLOBAL,有数据,Yahoo按名称,0P0000MXNH,,,0P0000MXNH,
GAM STAR GLOBAL BALANCED U USD ACC USD,GLOBAL,有数据,Yahoo按名称,0P0000MXNH,,,0P0000MXNH,
GLOBAL PAYMENTS 5.95 % NOTES 2022-15.08.52 USD,GLOBAL,有数据,Yahoo按名称,GPN,,,GPN,
GLOBAL X FDS GBL X FTSE ARGENT USD USD,GLOBAL,无数据,无结果,,,,,
GLOBAL X FDS GBL X ROBOTICS & ARTIFICIAL USD,GLOBAL,无数据,无结果,,,,,
GOLDMAN SACHS GLOBAL CORE EQUITY PORTFOLIO ACC USD,GLOBAL,有数据,FT-ISIN->Yahoo,0P0001UZPQ,LU3029563320,Goldman Sachs Global CORE Equity Portfolio R Acc USD Close,GS0C.MU,0P0001UZPQ
GOLDMAN SACHS GLOBAL EMERGING MRKTS DEBT HRD CCY CLASS P CAP US\$ USD,GLOBAL,有数据,Yahoo按名称,0P0000Y642,,,0P0000Y642,
GOLDMAN SACHS GLOBAL SENIOR LOANS R HEDGED INC USD,GLOBAL,有数据,Yahoo按名称,0P0001527M.F,LU0428438575,Goldman Sachs Global Senior Loans (Lux) - G Cap USD (hedged i),0P0001527M.F,
GOLDMAN SACHS GLOBAL US HIGH DIVIDEND CLASS P AC USD USD,GLOBAL,有数据,Yahoo按名称,0P0000Y642,,,0P0000Y642,
GQG PARTNERS GLOBAL EQUITY I ACC USD,GLOBAL,有数据,Yahoo按名称,0P0001F5PM.F,,,0P0001F5PM.F,
GS GLOBAL CORE EQUITY BASE ACCUMULATION SNAP USD ACC SNAP USD,GLOBAL,有数据,Yahoo按名称,0P00013MGM,,,0P00013MGM,
GUINNESS AM GLOBAL ENERGY C USD INC NAV USD,GLOBAL,有数据,Yahoo按名称,0P000118SR.F,,,0P000118SR.F,
GUINNESS AM GLOBAL ENERGY D USD INC NAV USD,GLOBAL,有数据,Yahoo按名称,0P0000IKHA.F,,,0P0000IKHA.F,
GUINNESS AM GLOBAL EQUITY INCOME C USD,GLOBAL,有数据,Yahoo按名称,0P0000SR2U.L,,,0P0000SR2U.L,
GUINNESS AM GLOBAL EQUITY INCOME Y USD,GLOBAL,有数据,Yahoo按名称,0P00015HVY.F,,,0P00015HVY.F,
GUINNESS AM GLOBAL INNOVATORS C ACC USD,GLOBAL,有数据,Yahoo按名称,0P00014JQ1.F,,,0P00014JQ1.F,
GUINNESS AM GLOBAL INNOVATORS Y ACC USD,GLOBAL,有数据,Yahoo按名称,0P00014JQC,,,0P00014JQC,
GUINNESS GAM GLOBAL EQUITY INCOME INC D USD,GLOBAL,无数据,无结果,,,,,
GUINNESS GLOBAL ENERGY Y INC USD,GLOBAL,有数据,Yahoo按名称,0P0000IKH9,,,0P0000IKH9,
GUINNESS GLOBAL EQUITY INCOME FUND C USD USD,GLOBAL,有数据,Yahoo按名称,0P00015HVY.F,,,0P00015HVY.F,
GUINNESS GLOBAL MONEY MANAGERS C ACC USD,GLOBAL,有数据,Yahoo按名称,0P000118SS.F,,,0P000118SS.F,
GUINNESS GLOBAL QUALITY MID CAP C ACC USD,GLOBAL,有数据,Yahoo按名称,0P0001LDIA,,,0P0001LDIA,
HEPTAGON FUND KOPERNIK GLOBAL All-CAP EQUITY FUND ACC A USD,GLOBAL,无数据,无结果,,,,,
HEPTAGON FUND WCM GLOBAL EQTY A ACC USD,GLOBAL,无数据,无结果,,,,,
HSBC GLOBAL FUNDS ICAV US EQUITY INDEX BC ACC USD,GLOBAL,有数据,Yahoo按名称,0P0001EPQG,,,0P0001EPQG,
HSBC GLOBAL INDIA FIX INC ACC USD USD,GLOBAL,有数据,FT-ISIN->Yahoo,0P0000WX8N,LU0780248018,HSBC Global Investment Funds - India Fixed Income EC,HBKU.L,0P0000WX8N
HSBC HLDGS 6.8 % NOTES 2022-01.06.38 GLOBAL USD,GLOBAL,无数据,无结果,,,,,
HSBC HOLDINGS PLC 7.35 % NOTES 2022-27.11.32 GLOBAL USD,GLOBAL,有数据,Yahoo按名称,HSBA.L,,,HSBA.L,
HSBC INV FD LUX SA GLOBAL EMG MKTS EQUITY A USD,GLOBAL,无数据,无结果,,,,,
HSBC INV FD LUX SA GLOBAL EQUITY CLIMATE SOLUTIONS A INC USD,GLOBAL,有数据,Yahoo按名称,0P0001BFG3,,,0P0001BFG3,
IDAD NATIX GLOBAL MARKETS DEFENSIVE AUTOCALL USD,GLOBAL,无数据,无结果,,,,,
IDAD NATIXIS GLOBAL INDICES AC JULY 2026 USD,GLOBAL,无数据,无结果,,,,,
IDAD NATIXIS GLOBAL MARKETS DEFENSIVE AC APRIL 2026 USD,GLOBAL,无数据,无结果,,,,,
IDAD NATIXIS GLOBAL MARKETS DEFENSIVE AC DEC 2025 USD,GLOBAL,无数据,无结果,,,,,
IDAD NATIXIS GLOBAL MARKETS DEFENSIVE AUTOCALL JANUARY 2026 USD USD,GLOBAL,无数据,无结果,,,,,
IDAD NATIXIS GLOBAL MARKETS DEFENSIVE AUTOCALL MARCH 2026 USD,GLOBAL,无数据,无结果,,,,,
IDAD NATIXIS GLOBAL MARKETS DEFENSIVE AUTOCALL USD,GLOBAL,无数据,无结果,,,,,
IDAD NATIXIS GLOBAL MARKETS MEMORY INCOME AUTOCALL OCTOBER 2025 USD,GLOBAL,无数据,无结果,,,,,
IFSL ARBION GLOBAL OPPORTUNITIES USD ACC USD,GLOBAL,有数据,Yahoo按名称,0P0001MJ13,,,0P0001MJ13,
IIF GLOBAL EQUITY B ACC USD,GLOBAL,无数据,无结果,,,,,
IIF GLOBAL EQUITY FUND CLASS A USD USD,GLOBAL,无数据,无结果,,,,,
INTERNATIONAL SEAWAYS INC NPV USD,INTERNATIONAL,有数据,Yahoo按名称,INSW,,,INSW,
INVESCO GLOBAL CONSUMER TRENDS A USD USD,GLOBAL,有数据,FT-ISIN->Yahoo,IUGI.F,LU0052864419,Invesco Funds - Invesco Global Consumer Trends Fund A Accumulation USD,IUGI.F,IUGI.F
INVESCO GLOBAL CONSUMER TRENDS C USD USD,GLOBAL,有数据,FT-ISIN->Yahoo,0P00000AN0,LU0100598878,Invesco Funds - Invesco Global Consumer Trends Fund C Accumulation USD,IUGI.F,0P00000AN0
INVESCO GLOBAL EQUITY FUND C (USD)-ANNUAL DISTRIBUTION USD,GLOBAL,有数据,Yahoo按名称,IGET.L,LU0267985157,Invesco Funds - Invesco Sustainable Global Systematic Equity Fund C Annual Distribution USD,IGET.L,
INVESCO GLOBAL HEALTH CARE INNOVATION A USD USD,GLOBAL,有数据,FT-ISIN->Yahoo,0P0001DK2B,LU1775982595,Invesco Funds - Invesco Global Health Care Innovation Fund A-Annual Distribution Shares USD,0P0001DK29,0P0001DK2B
INVESCO GLOBAL HEALTH CARE INNOVATION FUND C AD USD,GLOBAL,有数据,FT-ISIN->Yahoo,0P0001DK29,LU1775952176,Invesco Funds - Invesco Global Health Care Innovation Fund C-AD Shares,0P0001DK29,0P0001DK29
INVESCO GLOBAL INCOME A INC USD,GLOBAL,有数据,FT-ISIN->Yahoo,0P00014BDI,LU1097689100,Invesco Funds - Invesco Global Income Fund A (USD Hedged) Quarterly Distribution-Gross Income USD,0P00014BDI,0P00014BDI
INVESCO MANAGEMENT GLOBAL EQUITY INCOME A USD ACC NAV USD,GLOBAL,无数据,无结果,,,,,
INVESCO MANAGEMENT GLOBAL SMALL CAP EQUITY A USD,GLOBAL,无数据,无结果,,,,,
INVESCO SUSTAINABLE GLOBAL INCOME C HEDGED ACC USD,GLOBAL,无数据,无结果,,,,,
ISHARES GLOBAL HIGH YIELD CORP BD UCITS USD ACC USD,GLOBAL,有数据,Yahoo按名称,CEBR.DE,,,CEBR.DE,
ISHARES II PLC GLOBAL SUSTAINABI UCITS USD,GLOBAL,无数据,无结果,,,,,
iShares Macquarie Global Infra USD,GLOBAL,无数据,无结果,,,,,
ISHARES MSCI EM LATIN AMERICA USD,AMERICAN,有数据,Yahoo按名称,LTAM.L,,,LTAM.L,
ISHARES S&P GLOBAL TIMBER & FORESTRY USD,GLOBAL,有数据,Yahoo按名称,XGD.TO,,,XGD.TO,
iShares S&P Global Water USD,GLOBAL,无数据,无结果,,,,IQQQ.SG,
ISHARES VI PLC GLOBAL AAA-AA GOV BND UCITS USD,GLOBAL,无数据,无结果,,,,,
J O HAMBRO CAP GLOBAL OPPS A USD INC NAV USD,GLOBAL,有数据,Yahoo按名称,U650.MU,,,U650.MU,
JANUS HENDERSON GLOBAL EQUITY FUND R\$ ACC A2 USD USD,GLOBAL,有数据,FT-ISIN->Yahoo,0P00000HSG,IE0033534557,Janus Henderson Capital Funds plc - Global Real Estate Equity Income Fund Class A2 USD,G05E.MU,0P00000HSG
JANUS HENDERSON GLOBAL LIFE SCIENCE A ACC USD,GLOBAL,有数据,FT-ISIN->Yahoo,0P00000RMR,IE0002128837,Janus Henderson Capital Funds plc - Global Life Sciences Fund Class B2 USD,JFNNX,0P00000RMR
JANUS HENDERSON GLOBAL REAL ESTATE A3Q USD USD,GLOBAL,有数据,FT-ISIN->Yahoo,F4QR.MU,IE0033534441,Janus Henderson Capital Funds plc - Global Real Estate Equity Income Fund Class A3q USD,JERCX,F4QR.MU
JANUS HENDERSON GLOBAL TECHNOLOGY AND INNOVATION FUND H2 USD ACC USD,GLOBAL,有数据,Yahoo按名称,JATNX,,,JATNX,
JANUS HENDERSON HORIZON GLOBAL PROPERTY EQUITIES FUND A2 USD USD,GLOBAL,有数据,Yahoo按名称,0P0000193V,LU0209137388,Janus Henderson Horizon Global Property Equities Fund A2 USD,0P0000193V,LU0209137388.SG
JANUS HENDERSON HORIZON GLOBAL PROPERTY EQUITIES FUND A3Q USD USD,GLOBAL,有数据,FT-ISIN->Yahoo,HZ5Y.F,LU0209137206,Janus Henderson Horizon Global Property Equities Fund A3q USD,0P0000193V,HZ5Y.F
JANUS HENDERSON HORIZON GLOBAL PROPERTY EQUITIES FUND I2 USD USD,GLOBAL,有数据,FT-ISIN->Yahoo,0P0000ZQ1D,LU0973119513,Janus Henderson Horizon Global Property Equities Fund G2 USD,0P0000193V,0P0000ZQ1D
JANUS HENDERSON HORIZON GLOBAL TECHNOLOGY LEADERS FUND A1 USD USD,GLOBAL,有数据,FT-ISIN->Yahoo,FGVA.MU,LU0209158467,Janus Henderson Horizon Global Technology Leaders Fund A1 USD,0P0000GOQK,FGVA.MU
JANUS HENDERSON HORIZON GLOBAL TECHNOLOGY LEADERS FUND A2 USD USD,GLOBAL,有数据,Yahoo按名称,0P0000YWFQ.SI,LU0070992663,Janus Henderson Horizon Global Technology Leaders Fund A2 USD,0P0000YWFQ.SI,
JANUS HENDERSON HORIZON GLOBAL TECHNOLOGY LEADERS FUND H2 USD USD,GLOBAL,有数据,FT-ISIN->Yahoo,0P0000YFYK,LU0828813369,Janus Henderson Horizon Global Technology Leaders Fund H2 USD,0P0000GOQK,0P0000YFYK
JP MORGAN GLOBAL SOCIALLY RESPONSIBLE A ACC USD,GLOBAL,有数据,Yahoo按名称,0P0001M07F.L,,,0P0001M07F.L,
JPM IF GLOBAL DIVIDEND C ACC USD,GLOBAL,无数据,无结果,,,,,
JPMF A JPMF AMERICA EQUITY A USD USD,AMERICAN,无数据,无结果,,,,,
JPMF AM GLOBAL EQUITY A DIST USD USD,GLOBAL,无数据,无结果,,,,,
JPMORGAN AMERICA EQUITY A USD USD,AMERICAN,有数据,FT-ISIN->Yahoo,JPJA.F,LU0053666078,JPMorgan Funds - America Equity Fund A (dist) USD,JPJA.MU,JPJA.F
JPMORGAN ASSET MGM AMERICA EQUITY C USD ACC USD,AMERICAN,有数据,Yahoo按名称,00989A.TW,,,00989A.TW,
JPMORGAN ASSET MGM GLOBAL HEALTHCARE A ACC USD USD,GLOBAL,有数据,Yahoo按名称,00401A.TW,,,00401A.TW,
JPMORGAN ASSET MGM GLOBAL HEALTHCARE C ACC USD USD,GLOBAL,有数据,Yahoo按名称,00989A.TW,,,00989A.TW,
JPMORGAN ASSET MGM GLOBAL NATURAL RESOURCES A USD,GLOBAL,有数据,Yahoo按名称,00989A.TW,,,00989A.TW,
JPMORGAN ASSET MGM LATIN AMERICA EQTY A USD C USD,AMERICAN,有数据,Yahoo按名称,00401A.TW,,,00401A.TW,
JPMORGAN ASSET MGM LATIN AMERICA EQUITY A DIS USD USD,AMERICAN,有数据,Yahoo按名称,00401A.TW,,,00401A.TW,
JPMORGAN GLOBAL GROWTH FUND A USD ACC USD,GLOBAL,有数据,FT-ISIN->Yahoo,0P000019C1,LU0210533765,JPMorgan Funds - Global Growth Fund A (acc) USD,JYJ2.HM,0P000019C1
JPMORGAN GLOBAL RESEARCH ENHANCED INDEX EQUITY A ACC USD,GLOBAL,有数据,FT-ISIN->Yahoo,0P0001P9BJ,LU2402382688,JPMorgan Funds - Global Research Enhanced Index Equity Fund A (acc) USD,JREG.AX,0P0001P9BJ
JPMORGAN IF ASSET MGM GLOBAL BAL HGD A ACC USD USD,GLOBAL,无数据,无结果,,,,,
JPMORGAN IF ASSET MGM GLOBAL INCOME HEDGED A USD ACC NAV USD USD,GLOBAL,无数据,无结果,,,,,
JPMORGAN IF ASSET MGM GLOBAL MACRO OPPS A HGD USD,GLOBAL,无数据,无结果,,,,,
JPMORGAN IF ASSET MGM GLOBAL MACRO OPPS C USD ACC USD,GLOBAL,无数据,无结果,,,,,
JPMORGAN IF GLOBAL INCOME C DIS HDG USD,GLOBAL,无数据,无结果,,,,,
JSS EMERGINGSAR GLOBAL A DIST USD,GLOBAL,无数据,无结果,,,,,
JUPITER GLOBAL FIXED INCOME FUND L USD ACC USD,GLOBAL,有数据,FT-ISIN->Yahoo,0P00000MMB,IE0031386414,Jupiter Global Fixed Income Fund L (USD) Accumulation,0P00019VT7,0P00000MMB
JUPITER GLOBAL FUND EUROPEAN GTH L ACC USD USD,GLOBAL,无数据,无结果,,,,FGV4.SG,
JUPITER GLOBAL FUND JUPITER FINANCIAL INNOVATION L USD ACC NAV USD,GLOBAL,有数据,Yahoo按名称,0P00007W57.L,,,0P00007W57.L,
JUPITER GLOBAL INDIA SEL L USD USD,GLOBAL,无数据,无结果,,,,,
JUPITER MERIAN GLOBAL EQUITY ABSOLUTE RETURN FUND I USD ACC USD,GLOBAL,有数据,Yahoo按名称,0P0001339A,,,0P0001339A,
JUPITER MERIAN GLOBAL EQUITY ABSOLUTE RETURN FUND L USD ACC USD,GLOBAL,有数据,Yahoo按名称,0P00013397,,,0P00013397,
Jupiter Merian Global Equity Income Fund (IRL) L USD Inc USD,GLOBAL,有数据,Yahoo按名称,0P00016I3U,,,0P00016I3U,
JUPITER MERIAN NORTH AMERICAN EQUITY FUND I USD ACC USD,AMERICAN,有数据,FT-ISIN->Yahoo,0P00000MLI,IE0031385887,Jupiter Merian North American Equity Fund (IRL) L USD Acc,0P0000K0QL,0P00000MLI
JUPITER MERIAN NORTH AMERICAN EQUITY FUND L USD ACC USD,AMERICAN,有数据,FT-ISIN->Yahoo,0P00000MLI,IE0031385887,Jupiter Merian North American Equity Fund (IRL) L USD Acc,0P0000K0QL,0P00000MLI
KYTE BBVA 6Y GLOBAL MARKETS QTLY PHOENIX AC WITH MEM USD USD,GLOBAL,无数据,无结果,,,,,
KYTE BBVA 6Y GLOBAL MARKETS QUARTERLY PHOENIX AC USD USD,GLOBAL,无数据,无结果,,,,,
LAZARD GLOBAL LISTED INFRA EQUITY A ACC USD HEDG USD,GLOBAL,有数据,Yahoo按名称,0P0000WF31,,,0P0000WF31,
LAZARD GLOBAL LISTED INFRA EQUITY A DST US\$ HDG USD,GLOBAL,有数据,Yahoo按名称,0P0001CL1T,,,0P0001CL1T,
LAZARD GLOBAL LISTED INFRASTRUCTURE EQUITY FUND A ACC USD,GLOBAL,有数据,Yahoo按名称,0P0000WF31,,,0P0000WF31,
LEVERAGE VANILLA GLOBAL BALANCED INVESTMENT ETP USD,GLOBAL,无数据,无结果,,,,,
LIBERTY GLOBAL LTD USD,GLOBAL,有数据,Yahoo按名称,LBTYA,,,LBTYA,
LINDSELL TRAIN LTD GLOBAL EQUITY C USD,GLOBAL,有数据,Yahoo按名称,0P00013W6Y,,,0P00013W6Y,
LIONTRUST GF SUSTAINABLE FUTURE GLOBAL GROWTH FUND B5 ACC USD USD,GLOBAL,有数据,Yahoo按名称,0P0001IRM0.F,,,0P0001IRM0.F,
LITHIUM AMERICAS CORP USD,AMERICAN,有数据,Yahoo按名称,LAC,,,LAC,
M&G (LUX) GLOBAL TARGET RETURN FUND C H ACC USD,GLOBAL,有数据,FT-ISIN->Yahoo,0P00019IT4,LU1531595301,M&G (Lux) Global Target Return Fund USD C-H Acc,0P0001H2WH.L,0P00019IT4
M&G INVESTMENT MAN GLOBAL THEMES A USD ACC USD,GLOBAL,无数据,无结果,,,,,
M&G SECURITIES GLOBAL DIVIDEND A ACC USD,GLOBAL,无数据,无结果,,,,,
MAN GLOBAL INVESTMENT GRADE OPPORTUNITIES I ACC USD,GLOBAL,有数据,Yahoo按名称,0P0001NTQ4.L,,,0P0001NTQ4.L,
MARIANA BBVA GLOBAL MARKETS MEMORY INCOME GENERATOR 8560 USD,GLOBAL,无数据,无结果,,,,,
MARIANA GLOBAL GROWTH KICK OUT NOTE V2 USD,GLOBAL,无数据,无结果,,,,,
MARIANA GLOBAL MARKETS AUTOCALL NOTE USD,GLOBAL,无数据,无结果,,,,,
MARIANA INVESTEC GLOBAL INDEX INCOME BUILDER 65 USD,GLOBAL,无数据,无结果,,,,,
MARKET SEC BBVA 6Y 6% GLOBAL MARKETS QUARTERLY PHOENIX AUTO USD USD,GLOBAL,无数据,无结果,,,,,
MARKET SEC BBVA 6Y GLOBAL MARKETS QUARTERLY PHOENIX USD,GLOBAL,无数据,无结果,,,,,
MARKET SEC BNP GLOBAL MARKETS AC USD USD,GLOBAL,无数据,无结果,,,,,
MFS MERIDIAN FUNDS GLOBAL TOTAL RETURN A1 USD CAP USD,GLOBAL,有数据,Yahoo按名称,FHTF.MU,,,FHTF.MU,
MGTS PROGENY PROFOLIO GLOBAL 30-50% SHARES FUND ACC USD,GLOBAL,有数据,Yahoo按名称,0P0001R09P.L,,,0P0001R09P.L,
MOBILITY GLOBAL INC USD,GLOBAL,有数据,Yahoo按名称,MBGL,,,MBGL,
MOMENTUM GF HARMONY GLOBAL EQUITY FUND A ACC USD,GLOBAL,无数据,无结果,,,,,
MOMENTUM GLOBAL GROWTH FUND CLASS A USD,GLOBAL,有数据,FT-ISIN->Yahoo,0P0000TT0O,LU0651983982,Momentum Global Funds Harmony Asian Growth Fund A,,0P0000TT0O
MONTLAKE ORIEL LATITUDE GLOBAL FUNDS I USD ACC USD,GLOBAL,无数据,无结果,,,,,
MONTLAKE UCITS PLATFORM ICAV - QUILTER CHEVIOT INTERNATIONAL EQUITY FUND A USD ACCUMULATION USD,INTERNATIONAL,无数据,无结果,,,,,
MONTLAKE UCITS PLATFORM ICAV - QUILTER CHEVIOT INTERNATIONAL GROWTH FUND A USD ACCUMULATION USD,INTERNATIONAL,无数据,无结果,,,,,
MORGAN STANLEY GLOBAL ADVANTAGE A EUR ACC NAV USD,GLOBAL,有数据,Yahoo按名称,MSJAX,,,MSJAX,
MORGAN STANLEY GLOBAL ADVANTAGE FUND Z ACC USD,GLOBAL,有数据,Yahoo按名称,0P0000CNA5.F,,,0P0000CNA5.F,
MORGAN STANLEY GLOBAL BRANDS C USD,GLOBAL,有数据,FT-ISIN->Yahoo,0P0000MWCC,LU0176160306,Morgan Stanley Investment Funds - Global Brands Fund C,MSJD.SG,0P0000MWCC
MORGAN STANLEY IF GLOBAL BRANDS A ACC USD,GLOBAL,有数据,Yahoo按名称,0P0001XI1K,,,0P0001XI1K,
MORGAN STANLEY IF GLOBAL BRANDS Z ACC NAV USD,GLOBAL,有数据,Yahoo按名称,0P0001XI1P,,,0P0001XI1P,
MORGAN STANLEY IF GLOBAL OPP I ACC NAV USD,GLOBAL,有数据,Yahoo按名称,0P0001XI1N,,,0P0001XI1N,
MORGAN STANLEY IF GLOBAL OPPTY FD USD CL A USD,GLOBAL,有数据,Yahoo按名称,0P0001XI1K,,,0P0001XI1K,
NATIXIS IDAD GLOBAL MARKETS DEFENSIVE AUTOCALL FEBRUARY 2026 USD,GLOBAL,无数据,无结果,,,,,
NATIXIS INTL (LUX) HARRIS ASSOCS GLOBAL EQUITY I ACC USD,GLOBAL,无数据,无结果,,,,,
