
11/13/2008,0.342500,0.000000,0.000000,,,1.875960,-4.216419,,,4.668483,-0.320780,2.223950,3.067679,,,2.928632,-0.725426,-0.330820,,-0.176574,0.310503,10.989128,-1.227862,1.935824,,-0.027085,-0.248483,,9.328994,6.590288,-1.625636,,,4.635742,-1.603320,,,1.730248,,7.103825,,,,,,,-0.227470,6.682188,8.135932,,3.996607,7.808291,13.310649,11.358069,,,
11/12/2008,-0.864158,0.021788,-0.321133,,,-2.937814,-0.048412,,,-3.489159,-2.812436,-2.411495,-0.343178,,,-2.643599,0.617586,0.340913,,0.255776,-0.637759,-7.608585,-3.976117,-1.734871,,0.027092,0.154023,,-4.190734,-5.035077,0.277632,,,-0.527032,0.483056,,,-0.532619,,-4.905425,,,,,,,-0.924560,-3.923065,-6.362887,,-2.144597,-6.077466,-11.107145,-9.294243,,,
11/11/2008,0.756661,0.000000,0.254849,,,-1.907530,0.978411,,,-1.641355,-1.503415,-1.049724,-1.679570,,,-2.033898,0.371895,0.188742,,-0.225815,0.051308,-5.303027,1.125106,-1.039187,,0.018141,0.071222,,-1.104750,-2.129659,0.728106,,,-1.026882,0.667995,,,-1.533092,,-6.090182,,,,,,,-0.560049,-1.770514,-3.978702,,-2.261029,-3.490293,-5.958090,-3.642945,,,
11/10/2008,-0.638521,-0.021783,0.000000,,,0.653742,0.117463,,,-1.033650,-0.407805,-0.628381,-0.219238,,,1.598016,0.101498,0.180084,,-0.078511,0.945597,-0.403846,-0.845028,-0.030090,,0.018030,0.309375,,-3.978309,-2.909737,0.468271,,,-1.048346,0.527453,,,-0.080473,,2.378098,,,,,,,0.067234,1.006006,0.040157,,0.288780,-2.319952,1.345772,1.666621,,,
11/07/2008,0.507281,0.000000,-0.214174,,,0.122850,-0.535721,,,1.347019,0.229891,0.249520,0.345767,,,0.137950,-0.359621,-0.376738,,-0.205586,0.522158,3.337353,0.475751,0.712583,,0.009188,-0.178054,,5.013580,2.213881,-0.484893,,,1.059453,-0.666884,,,0.202069,,-0.219342,,,,,,,-0.468855,1.781649,1.634956,,0.455578,1.733609,2.958636,3.020616,,,
11/06/2008,-0.412459,0.152576,0.080552,,,-4.380186,-1.241292,,,-2.566469,-1.373028,-1.991928,-1.440548,,,-0.698630,-0.302651,0.080866,,-0.185492,0.324793,-6.671433,1.271792,0.304138,,0.135937,0.035436,,-9.205385,-7.600376,-1.325413,,,1.404968,0.028691,,,-1.550842,,-6.853640,,,,,,,-0.577317,-1.566977,-5.448045,,-1.065170,-5.291501,-11.442477,-6.175425,,,
11/05/2008,1.517569,0.043651,0.755419,,,-2.590602,1.306210,,,-1.930573,-0.613390,-1.174029,-0.745642,,,-3.502974,0.529652,0.134751,,0.837306,-0.862078,-5.308133,-3.355738,-0.874306,,0.018174,0.178591,,-6.081119,-5.181081,1.856353,,,-1.705941,1.000863,,,-0.317004,,-6.169397,,,,,,,-1.314406,-3.319923,-4.183705,,-1.770972,-5.517025,-9.049974,-4.255931,,,
11/04/2008,1.605582,0.043670,1.008037,,,4.539843,3.063673,,,2.717508,0.915925,2.537786,3.041568,,,6.175439,1.196985,0.724378,,1.256981,0.616560,10.002121,1.929849,-2.912769,,-0.099629,-0.035643,,4.207961,3.722774,1.580954,,,-3.993125,1.633461,,,2.311281,,9.316060,,,,,,,1.264539,0.892034,4.689581,,1.470647,3.942419,5.876820,7.855919,,,
11/03/2008,-1.590542,-0.028378,0.782659,,,-1.102572,0.667501,,,2.300481,-1.622034,1.709479,-0.859796,,,-0.461023,0.159853,0.518689,,0.713310,-0.083598,-4.912739,1.044021,-0.408205,,0.127024,0.187320,,-2.650367,-0.239499,0.709647,,,-0.295483,0.378218,,,-1.083060,,-5.576543,,,,,,,-0.026504,2.710636,-0.462370,,1.533446,-2.872692,0.224142,-4.557558,,,
10/31/2008,-0.311675,-0.108754,-0.054580,,,1.114865,-1.523661,,,-2.338039,-2.506606,0.968577,-1.504211,,,-1.404959,-0.204361,0.373543,,0.736473,0.649744,-0.081080,0.341672,0.542314,,-0.045197,0.047322,,1.815555,1.273102,-1.523914,,,2.063506,-1.045678,,,-1.149772,,2.944444,,,,,,,-0.154578,2.569792,1.131180,,-0.617988,4.076050,2.225117,1.401281,,,
10/30/2008,-0.124550,0.130729,-0.665322,,,-4.123716,-6.594659,,,1.618602,0.558780,1.089269,-0.015441,,,-2.274869,-0.766172,-0.471478,,-0.820407,-0.052369,8.282625,3.533186,1.911871,,-0.018168,0.083275,,5.650656,4.336475,-0.894792,,,2.106984,-0.548826,,,0.079227,,-3.017241,,,,,,,-0.329490,3.574756,3.138335,,4.207828,3.033705,3.733879,8.966909,,,
10/29/2008,1.903090,-0.108777,0.724754,,,5.903873,4.055302,,,4.613944,3.164310,4.221837,1.933934,,,0.718547,0.146793,0.172559,,0.000000,-0.676187,6.983031,0.106342,-0.741267,,0.027144,0.059630,,-4.599830,-1.649886,-0.242068,,,1.164094,-0.650505,,,2.356070,,4.622322,,,,,,,3.173108,2.420714,4.106470,,-1.936794,2.047977,8.308976,6.101398,,,
10/28/2008,0.350208,-0.021805,-0.773336,,,2.741866,-6.497822,,,6.133693,1.682064,0.758324,1.443509,,,1.864383,-0.805994,-0.226656,,-0.557152,-0.383296,7.778734,1.144431,1.888159,,0.000000,0.119087,,10.612776,8.988474,-0.536714,,,2.849924,-1.059990,,,0.777355,,4.660767,,,,,,,1.192854,5.042803,12.593352,,6.885454,9.774791,14.525880,10.094777,,,
10/27/2008,-0.997815,0.152460,-0.539876,,,-0.742187,3.271124,,,-2.742283,-1.400883,-1.067987,-0.397089,,,0.402108,-0.055986,-0.063403,,-0.287897,0.010465,-5.433453,-2.613469,0.166407,,0.099704,-0.249646,,-0.381204,-0.202117,-0.423308,,,-0.952089,0.009482,,,-0.569779,,-4.056604,,,,,,,-1.646540,-5.262991,-7.423037,,-2.543341,-1.493173,-8.653570,-7.963633,,,
10/24/2008,-0.843732,-0.108801,-1.147279,,,-3.998250,-1.382559,,,-6.506663,-1.564572,-1.329821,-2.486542,,,1.505982,-0.423315,-0.126646,,-1.292683,0.249257,-6.068456,0.702524,1.880748,,0.045382,0.083285,,0.000000,-0.101568,-1.219287,,,2.499599,-0.602097,,,-2.033283,,-6.360424,,,,,,,-2.270875,-3.023159,-4.304811,,-5.000202,-5.727912,-6.910221,-3.505182,,,
10/23/2008,-1.759980,0.130786,-0.464688,,,0.397307,1.725219,,,-0.224408,-0.602334,-0.050200,0.647099,,,-1.264591,0.133839,-0.054229,,-0.429046,0.954267,5.117364,-2.697349,-0.353313,,-0.054337,-0.059409,,-0.542535,-2.086029,1.029335,,,-1.351132,0.131965,,,0.521091,,3.040233,,,,,,,-1.711685,-1.450924,-2.286112,,0.418370,0.000000,-3.155445,2.310360,,,
10/22/2008,1.159291,-0.130616,0.453478,,,-4.733093,3.362612,,,-1.197144,-2.685760,-3.368571,-1.836693,,,-5.663346,0.764277,0.490712,,0.411317,2.548781,-13.538616,-1.247719,-2.325545,,0.081572,0.142848,,-4.650851,-4.066760,0.871751,,,-3.409426,1.095118,,,-1.266478,,-6.533946,,,,,,,-1.241420,-3.347408,-5.480291,,-1.565322,-6.829595,-13.027718,-11.720004,,,
10/21/2008,0.877227,0.000000,1.709232,,,-3.577664,0.526217,,,-4.055531,-2.655119,-1.527169,-2.083089,,,-2.963999,1.056397,0.474620,,0.294570,0.010687,-2.640194,0.747488,-2.042881,,-0.009101,0.202910,,-4.207961,-4.750539,1.851318,,,-2.123625,1.165795,,,-1.978076,,-4.902913,,,,,,,-0.468426,-1.072594,-4.214447,,-0.938040,-1.118621,-3.154289,-3.011548,,,
10/20/2008,1.785421,0.239991,-0.040618,,,2.010954,1.865491,,,2.425535,-0.837216,-0.261717,-0.373354,,,2.064399,0.102320,0.237875,,0.513395,3.322550,12.206238,4.396401,-1.090408,,-0.063437,-0.071675,,2.798720,2.991520,0.151304,,,-1.556115,0.640132,,,-0.731717,,4.092976,,,,,,,-0.718946,3.961123,5.047740,,0.822629,0.539791,14.362124,11.561324,,,
10/17/2008,0.362641,-0.217649,0.545471,,,1.129972,-2.965694,,,-0.333098,-0.305088,-0.603372,-0.475551,,,-2.985263,0.629339,-0.045695,,0.605636,1.055545,-0.696762,0.463741,-0.448551,,0.000000,0.071726,,-1.651499,-1.563939,-0.732524,,,1.144701,-0.588086,,,-0.153977,,0.050556,,,,,,,0.617146,0.678188,2.671523,,0.745618,2.018808,1.148640,4.473475,,,
10/16/2008,-1.574725,-0.043484,-0.013611,,,-1.884790,1.257764,,,3.832897,0.040286,0.320388,-0.325807,,,-5.013161,0.022944,0.164849,,1.409964,0.326691,3.195640,-1.508423,-0.216533,,-0.217126,-0.059736,,4.606886,4.856844,0.320509,,,1.288205,-0.067391,,,-0.458901,,-2.288819,,,,,,,-2.892525,4.237780,0.682759,,0.962658,6.600814,4.667793,9.701792,,,
10/15/2008,1.599920,0.021678,-0.609713,,,-4.550328,-0.243257,,,-5.322333,-0.378715,-2.238944,-1.076980,,,1.629377,0.819170,0.571228,,-1.253050,-2.983895,-17.456402,1.062854,-0.844920,,0.081517,0.335012,,-6.829044,-9.253176,-0.244570,,,-2.204738,0.503363,,,-0.532909,,-6.612333,,,,,,,0.707428,-6.913125,-12.411692,,-3.434660,-11.624733,-17.067530,-17.962241,,,
10/14/2008,2.102003,0.174412,1.276091,,,-1.835072,0.038899,,,0.788959,0.132167,-0.873976,0.367648,,,0.451936,-0.470839,0.499988,,1.217879,1.881935,-0.552726,8.504141,0.489354,,0.317878,0.023822,,-7.864931,-4.140892,-0.448902,,,0.284301,-0.958809,,,0.535764,,-4.057244,,,,,,,5.510207,-2.294555,-2.902301,,0.203066,0.609132,-3.889409,0.093031,,,
10/13/2008,3.868674,-0.390995,4.159500,,,5.555482,-2.198178,,,7.742138,1.920399,3.143095,1.515373,,,-1.681278,-0.684407,-1.351803,,-0.689733,0.898907,21.779688,19.219472,2.205815,,-0.362007,-0.440736,,9.605411,9.163351,-1.091817,,,4.230450,-0.695070,,,0.268601,,1.924812,,,,,,,2.359733,13.263674,14.057925,,4.660570,3.930962,11.924005,21.919924,,,
10/10/2008,-6.839434,0.087009,-3.048671,,,-4.435753,-0.980124,,,-5.642998,-0.122787,-3.292008,-1.550571,,,-8.494505,-1.172158,0.036497,,-1.409241,-2.111747,-10.194620,-3.539694,1.010056,,0.090641,0.155110,,-1.072023,-1.266900,-0.551938,,,1.469841,-1.139173,,,-1.138367,,-4.454023,,,,,,,-6.708937,-4.996757,-2.357737,,0.854618,2.122271,-1.735655,-8.442865,,,
10/09/2008,0.232318,0.152464,-3.115026,,,-4.661863,-0.206763,,,1.796100,-1.241676,-1.879588,-0.497208,,,1.392758,-1.004302,-0.355057,,-0.049190,-1.441690,-8.356826,-9.887923,2.341199,,-0.036220,0.059657,,-2.655807,-1.719145,-1.433524,,,1.457400,-0.987867,,,-0.715731,,-3.681151,,,,,,,3.246818,-5.364722,-6.405820,,-6.024159,-6.352284,-4.866003,-9.659318,,,
10/08/2008,-2.008036,-0.087066,-1.481387,,,1.452728,-1.005478,,,-4.588694,-0.802019,-1.507581,0.543992,,,3.160920,-1.277733,-1.240921,,-0.907835,-2.935686,0.718767,1.538443,3.590498,,0.072378,-0.427726,,0.620573,-0.236452,-1.763921,,,3.164314,-1.901822,,,0.568548,,-0.317285,,,,,,,-4.049807,1.134543,3.233082,,-2.734116,-1.948728,1.223938,0.660850,,,
10/07/2008,-2.067775,-0.021796,0.291844,,,1.231057,-0.739244,,,-1.725794,0.091749,-0.890001,0.770519,,,2.824725,-0.076986,0.216339,,0.995707,-2.602847,-9.600753,-10.182017,-0.376439,,0.072661,0.023672,,-6.640637,-6.522848,-0.230751,,,0.000000,-0.045625,,,0.763397,,1.228879,,,,,,,-0.413476,-2.918032,-5.157309,,-3.177187,-6.423659,-7.966943,-10.149895,,,
10/06/2008,0.030303,-0.021791,-0.802811,,,-4.256692,2.900190,,,-7.074514,-1.757565,-1.631770,-2.053581,,,2.247734,0.810058,0.680455,,-0.869826,-0.590979,-6.908116,-4.513617,-1.802527,,-0.036260,0.202486,,-2.008639,-3.390469,1.332747,,,-3.034372,0.959598,,,-1.540784,,-4.837209,,,,,,,-4.257599,-5.432193,-4.934908,,-2.900824,-2.813378,-4.260872,-6.230158,,,
10/03/2008,0.755914,0.000000,-0.549687,,,-2.334553,0.824212,,,0.376655,0.669180,0.000000,-0.116014,,,0.705854,0.378606,0.281990,,0.137025,-0.597511,-0.443705,2.857051,-0.794698,,-0.108661,0.274714,,-0.865629,-1.135788,0.234987,,,-1.338025,0.147802,,,-0.037947,,-0.751781,,,,,,,0.198518,-1.722464,-0.983632,,-0.801617,-3.495167,-0.288718,-2.958574,,,
10/02/2008,0.389848,-0.043427,1.948062,,,-5.528594,2.707819,,,-2.370095,-0.400952,-1.939428,-1.499179,,,-4.730435,0.560033,0.751673,,0.779143,1.699348,-9.940036,-2.777691,-0.863625,,0.117884,0.215636,,-4.742526,-6.051441,0.819323,,,-1.951463,0.913750,,,-1.004115,,-4.736776,,,,,,,-3.706671,-3.250879,-7.184756,,-1.258876,-3.620162,-15.827625,-10.396472,,,
10/01/2008,-0.712762,-0.015245,-0.532283,,,-2.331328,0.554604,,,-0.147994,-0.539888,0.360614,-0.311061,,,0.912601,0.705019,0.474396,,-0.216486,0.087485,-4.471703,2.199772,-1.182907,,0.140645,0.312112,,-1.821268,-0.542683,1.315156,,,-2.197306,0.893798,,,-0.296552,,-2.950860,,,,,,,1.054181,0.781754,-1.646351,,0.724570,0.000000,-3.555533,-3.234482,,,
09/30/2008,0.335706,-0.367648,-1.137377,,,2.790684,0.808468,,,-1.219171,-1.597715,-2.007776,-2.571663,,,-4.438730,-1.320048,-0.829314,,0.422835,0.839524,5.440957,5.576330,2.706438,,-0.027199,-0.393376,,5.330186,3.948785,-2.264077,,,4.211982,-2.075627,,,-2.459341,,6.382151,,,,,,,-1.627032,0.635976,2.140618,,3.526042,2.197802,5.550506,4.988274,,,
09/29/2008,-0.455756,0.434349,0.486121,,,-6.202189,-1.552552,,,-3.851301,-1.796270,-0.968327,-1.269544,,,2.887381,1.394769,1.301628,,-0.294084,-1.681120,-11.730742,-11.396523,-3.113726,,-0.045273,0.575534,,-9.284315,-8.493514,2.467041,,,-6.075409,2.129247,,,-0.860309,,-10.578819,,,,,,,-4.083574,-5.008030,-7.207635,,-3.754629,-6.667067,-13.709401,-12.103699,,,
09/26/2008,-0.504089,0.174233,-1.001375,,,-1.180532,1.688616,,,-0.582616,0.260421,0.154721,-0.040957,,,0.323139,-0.067663,-0.036944,,-0.497731,0.563531,-3.318425,-2.692782,0.134085,,-0.027180,0.000000,,1.772004,0.542045,0.000000,,,-0.933085,0.178476,,,0.107494,,-0.553697,,,,,,,1.100753,1.664611,-2.328421,,-0.359679,1.001289,-5.010104,-4.086939,,,
09/25/2008,-0.180954,0.108861,0.326165,,,1.744817,3.655973,,,0.131042,-0.437511,0.279433,0.081909,,,-0.390850,-0.302359,-0.559761,,0.097690,0.670457,1.116429,3.517290,0.706226,,0.090719,-0.179571,,2.626470,1.436488,0.276827,,,0.625982,-0.346461,,,-0.071612,,2.156493,,,,,,,-0.274433,2.416699,-0.276041,,2.469600,1.792699,-0.275586,2.220001,,,
09/24/2008,0.120725,-0.304074,-0.013072,,,-0.822796,0.036489,,,-0.308653,-0.499746,0.020699,-0.637758,,,-1.772809,0.258281,0.525774,,0.411823,-0.939967,0.699506,-0.099419,-0.563317,,0.008992,0.215823,,-0.402809,1.014607,0.147734,,,-0.707025,0.291156,,,-0.712284,,-1.474515,,,,,,,0.183408,1.155276,-1.978417,,-0.183942,-0.350261,-1.910017,-0.341853,,,
09/23/2008,-0.150890,0.326790,0.314033,,,-0.983115,-1.952968,,,-1.369685,-0.273282,-0.381414,-1.000801,,,-0.628366,0.000000,0.092347,,-0.351726,-0.295639,-4.022292,-1.726078,-0.133747,,0.054328,0.071940,,-0.520455,-1.522851,0.241356,,,-0.092924,-0.168808,,,-0.847248,,-1.700525,,,,,,,-1.959052,-1.043718,-2.328004,,-1.343121,-1.415825,-5.403007,-2.183779,,,
09/22/2008,-1.564237,0.043600,-0.260899,,,3.458113,0.852796,,,1.823829,1.401977,1.708963,2.478016,,,3.315558,-0.212968,0.111016,,-0.292221,0.543107,-0.101805,-4.212357,0.976171,,0.000000,0.072151,,-5.736124,-4.545081,-0.900524,,,0.748862,-0.364239,,,1.980545,,6.038969,,,,,,,2.467853,-3.161149,-1.280694,,-0.541466,-4.105462,-2.184170,-2.287546,,,
09/19/2008,0.447584,-0.347588,1.228760,,,3.302518,-5.966663,,,4.483738,1.254596,1.231374,1.374588,,,3.628063,-1.783773,-1.636596,,0.048592,0.857347,8.266315,10.062114,2.857532,,-0.226141,-0.561324,,2.514692,2.421032,-1.394149,,,5.723259,-2.299946,,,0.908149,,4.370342,,,,,,,3.724736,3.161693,6.372385,,-0.219724,1.358479,7.133972,8.608018,,,
09/18/2008,-0.277834,-0.281417,-1.419689,,,0.180311,-3.072004,,,0.689805,-0.471041,0.490700,-0.347689,,,-2.700175,-1.175096,-0.578398,,-0.936653,-1.725908,1.473670,10.385896,2.145754,,-0.027153,-0.321346,,5.466723,5.034539,-2.144006,,,3.199974,-0.931191,,,-0.289783,,2.154839,,,,,,,-1.020692,2.061240,-0.027744,,0.648193,2.572885,5.805874,5.060279,,,
09/17/2008,0.248695,0.435011,0.130234,,,3.005174,1.151244,,,-0.412372,2.091065,0.342526,1.546444,,,11.698655,0.900216,0.930458,,0.612114,-1.500017,-4.003978,-8.592725,-1.277147,,0.226708,0.478469,,-4.444200,-3.354334,-0.142009,,,-0.760161,0.217332,,,2.222330,,3.347113,,,,,,,-0.918145,-4.915620,-1.869765,,-3.576418,-3.953693,-2.553222,-2.248379,,,
09/16/2008,-1.013727,0.043534,-0.968636,,,-2.033568,-0.734047,,,-1.257708,-0.990860,-0.266826,-1.199924,,,-1.276102,-0.284646,-0.363552,,-0.560363,-1.039101,3.986356,-5.531919,1.102333,,0.036337,-0.179164,,1.544056,1.050386,0.462454,,,0.594730,0.090837,,,-1.279661,,-1.716907,,,,,,,-0.224194,1.467162,1.095289,,0.000000,0.663180,2.872235,2.076398,,,
09/15/2008,0.395202,0.108884,0.754723,,,-3.935786,6.511660,,,-1.649495,0.539835,-0.647041,0.674153,,,2.646203,1.919211,1.457127,,0.592849,-0.345172,-7.271190,-8.478407,-4.453931,,0.145329,0.709487,,-1.902497,-3.899888,2.664962,,,-7.176672,2.348404,,,0.959855,,-6.368880,,,,,,,-2.461243,-1.981252,-4.148949,,-1.200921,-3.364745,-9.846686,-8.536507,,,
09/12/2008,-0.403394,0.043600,-0.324261,,,0.674968,-2.621226,,,2.728620,2.311846,1.463449,1.896534,,,3.534247,-0.499571,-0.156583,,-0.261632,-0.049286,3.075723,1.366284,1.003036,,0.018141,0.012094,,-0.425330,0.137990,-1.279286,,,2.721988,-0.819407,,,1.727054,,0.000000,,,,,,,0.091111,-0.445227,3.198219,,0.206634,0.000000,5.861033,3.453921,,,
09/11/2008,-0.127887,-0.021727,-0.064721,,,-0.843759,-0.221204,,,-0.136782,-0.068279,-0.609609,-0.470060,,,-1.881720,-0.177348,-0.036724,,0.028935,0.207398,2.124450,-1.876896,0.015325,,0.009129,-0.036110,,0.427147,0.023281,0.506795,,,-0.048543,-0.110285,,,-0.411100,,-1.783777,,,,,,,0.182905,1.207312,1.708692,,0.413853,1.528854,0.928361,1.810898,,,
09/10/2008,-0.068701,0.043610,0.000000,,,0.145676,-1.458944,,,0.211972,-0.125053,0.021396,-0.545512,,,-2.617801,-0.254311,-0.119530,,-0.222577,-0.305240,2.233907,-3.341274,0.673177,,0.018145,0.024026,,0.077807,0.624137,0.017861,,,0.981162,-0.348272,,,-0.483857,,0.752884,,,,,,,0.183240,3.120782,0.861708,,0.695306,-1.030335,3.601785,4.788187,,,
09/09/2008,0.443963,-0.021868,0.181726,,,-3.650645,2.775309,,,-1.980016,0.039843,-0.479055,-0.324781,,,-3.168568,0.455342,0.313528,,-0.048202,0.157776,-6.700039,-4.720056,-1.059774,,0.036420,0.156494,,-3.088878,-3.889452,0.491428,,,-2.159978,0.673575,,,-0.296773,,-4.166182,,,,,,,0.183225,-2.461108,-3.175904,,-0.518774,-1.895264,-8.820601,-9.486705,,,
09/08/2008,0.625436,0.000000,0.706283,,,-0.224203,0.234161,,,0.552947,-0.385159,-0.138162,-0.589647,,,0.012676,0.011086,-0.129001,,1.711346,0.098728,-2.386978,-2.670465,0.015092,,-0.018149,-0.048104,,0.188419,-0.596285,-0.126719,,,-0.239465,0.314521,,,-0.406677,,-0.151057,,,,,,,-1.535569,-0.419558,-0.188148,,2.118481,4.524349,-5.889940,-1.784980,,,
09/05/2008,-0.297109,0.021873,0.078462,,,-0.998837,0.392034,,,-1.333936,-0.242972,0.555834,-0.613897,,,0.573687,-0.221576,-0.183784,,-0.127569,0.526073,-0.023852,-0.345959,0.441179,,-0.018261,-0.036145,,1.338389,1.320894,0.658300,,,0.015967,-0.101586,,,-0.551186,,-1.103195,,,,,,,-1.160769,-0.305162,0.107288,,0.926533,0.198077,1.344693,1.392172,,,
09/04/2008,0.367686,0.000000,0.052486,,,-1.421921,0.482357,,,-1.363334,-0.472310,-0.795414,-1.253829,,,-0.884508,0.501129,0.341412,,0.384507,-0.188246,-1.675916,0.053253,-0.964098,,0.018264,0.060384,,-3.255348,-3.080799,0.000000,,,-1.648557,0.585818,,,-0.765837,,-1.605608,,,,,,,-0.444491,-3.848738,-3.553416,,-0.636829,-3.326897,-5.589028,-1.450386,,,
09/03/2008,-0.019921,0.000000,0.130935,,,-0.570684,0.684206,,,-0.274260,-0.235630,0.758702,0.020682,,,0.075873,0.245522,0.249506,,-0.098537,0.617902,-2.397102,-0.265557,-0.434851,,0.018152,0.035861,,-3.978414,-4.534896,0.147058,,,-0.639639,0.289147,,,0.036420,,-0.840901,,,,,,,-1.020281,0.999385,-0.516230,,-0.738624,0.514338,-2.637897,-0.448844,,,
09/02/2008,0.332894,0.071960,0.326359,,,-2.595448,2.447477,,,-2.376613,-2.240209,-0.593757,-1.097864,,,-3.525680,0.544572,0.348116,,0.459144,-0.387249,-5.065204,-0.109322,-1.141555,,0.018155,0.126869,,-1.228038,-1.569530,0.984162,,,-2.077631,0.685437,,,-1.011159,,-3.962528,,,,,,,-1.141412,-0.420050,-2.516205,,1.101617,1.967543,-7.333517,-6.868933,,,
08/29/2008,-0.029888,-0.043622,-0.130963,,,-0.369318,-0.555415,,,-0.323229,-0.359383,-0.986916,-0.135648,,,-0.461445,-0.122933,-0.073996,,-0.147605,0.178775,-1.653760,0.906023,0.416841,,0.000000,0.048058,,-2.263971,-2.231805,-0.257332,,,0.940651,-0.429120,,,-0.216269,,-0.556805,,,,,,,-0.120651,-1.213163,-0.674828,,-0.985298,-1.134844,-1.091409,-0.757434,,,
08/28/2008,0.089407,0.000000,0.091781,,,-1.965988,0.060672,,,0.452248,-0.249841,-0.449412,-0.155831,,,1.167076,-0.145105,-0.120163,,0.207175,-0.306711,-1.634658,1.267424,0.313611,,-0.009135,-0.048035,,1.250409,0.945566,-0.256672,,,0.030855,-0.084028,,,-0.144114,,-2.372988,,,,,,,0.051877,1.480666,1.419736,,0.637982,2.321546,0.765637,-1.945147,,,
08/27/2008,0.119296,0.000000,0.026360,,,0.939845,0.040545,,,0.395982,-0.178892,0.146471,0.538019,,,0.073764,0.145316,0.120308,,-0.167275,0.287770,0.815906,1.477869,-0.357158,,0.027296,0.060040,,0.417998,0.995413,0.404795,,,-0.261536,0.336782,,,0.289062,,1.874334,,,,,,,0.190244,-1.805687,0.920440,,0.462445,0.299534,2.263756,2.967895,,,
08/26/2008,-0.119153,0.021884,0.131062,,,0.052415,-0.090962,,,-0.922919,-0.673117,0.251856,-0.723494,,,0.419753,0.033585,0.064724,,0.454607,-0.148620,1.966393,0.549810,-0.207894,,0.000000,-0.036075,,-0.346986,-0.865813,-0.201989,,,0.355116,-0.130620,,,-0.574377,,0.859291,,,,,,,-0.840478,0.045965,0.540204,,-0.390217,0.771475,0.774672,3.174912,,,
08/25/2008,0.308834,-0.021879,0.276310,,,-0.571402,2.590506,,,-0.390644,0.037707,-0.240705,-0.134997,,,-0.307692,0.663859,0.325059,,0.406922,0.019798,-0.957722,-0.465497,-1.116024,,0.018162,0.168685,,-1.269331,-1.566053,0.778208,,,-2.454868,0.828619,,,0.071689,,0.605144,,,,,,,-0.715396,-1.105171,-2.163862,,-1.603990,-2.802727,-2.435568,-1.425936,,,
08/22/2008,-0.109455,0.021884,-0.209928,,,-3.387643,-0.392134,,,-1.438331,-1.428443,-0.396161,-0.757110,,,-1.359718,-0.291806,-0.231666,,-0.207848,0.079256,-2.095316,0.912550,0.412846,,0.000000,-0.180351,,1.285650,1.244171,-0.037284,,,-0.060215,-0.187793,,,-1.030462,,-5.773343,,,,,,,-0.373193,1.272688,-0.049779,,1.810559,2.334787,-2.137026,-2.403781,,,
08/21/2008,0.019874,0.021752,-0.026405,,,4.292102,-0.544077,,,0.787679,0.873065,1.696513,1.001607,,,3.078463,-0.212696,-0.221844,,-0.227402,-0.118742,1.905709,-0.083272,0.638183,,-0.018159,-0.084199,,-0.929935,-0.559022,-0.331927,,,-0.075167,-0.206455,,,1.186701,,4.500958,,,,,,,1.271487,-1.391168,0.861778,,-1.088467,0.806520,2.484910,1.541617,,,
08/20/2008,0.159586,0.000000,0.223802,,,0.791050,0.422594,,,0.182950,-0.261766,-0.021127,-0.270048,,,-0.843777,0.292035,0.231688,,0.616471,-0.069381,3.166613,0.055546,-0.619531,,0.054506,0.132374,,-1.021546,-0.278732,0.351423,,,-0.180138,0.414310,,,-0.143804,,1.337071,,,,,,,-1.003509,-0.675853,1.755336,,0.035475,-1.228321,3.697684,3.731218,,,
08/19/2008,-0.079729,0.087221,-0.183996,,,1.553901,-1.020343,,,0.528761,0.144472,0.286958,0.604331,,,2.025573,-0.145805,-0.009329,,0.089670,0.228113,3.358419,-1.764293,0.162624,,0.045500,0.072387,,-2.329391,-1.874965,-0.369018,,,0.924261,-0.319197,,,0.505644,,1.621740,,,,,,,0.581618,-1.157792,-0.616114,,-1.351840,-1.857831,2.507134,3.405463,,,
08/18/2008,0.169691,-0.065271,0.263249,,,0.565780,1.208255,,,0.276639,0.096408,-0.434072,0.211007,,,1.909431,0.247304,0.194989,,0.000000,-0.089119,-1.657050,-0.994516,-0.455827,,-0.036340,0.084283,,-1.151286,-1.272677,0.463727,,,-0.975272,0.320219,,,0.036039,,-0.588235,,,,,,,1.317450,-2.376571,-0.914593,,-0.413711,-1.697400,-0.044609,-1.949411,,,
08/15/2008,0.290073,0.021625,0.317222,,,-1.355368,1.435144,,,-0.607201,-0.187135,0.403939,-0.903597,,,-2.318841,0.372162,0.204624,,0.469882,0.238542,-2.467754,0.323545,-0.671785,,0.018174,0.072341,,-0.164751,0.464751,0.709125,,,-1.434461,0.635273,,,-0.610196,,-1.013586,,,,,,,-1.435111,-0.518924,-0.631249,,0.975690,1.167084,-2.373822,-2.245288,,,
08/14/2008,0.240867,-0.021620,0.251431,,,-0.869452,0.484321,,,-0.626168,-0.192025,-0.053040,-0.802667,,,-2.923905,0.305649,0.195771,,0.210432,0.650019,-1.298632,0.054227,-0.652938,,0.009030,0.036183,,0.165023,1.018277,0.525834,,,-1.457327,0.409219,,,-0.783108,,-1.077333,,,,,,,-0.408357,1.225818,-0.201801,,0.454999,1.513196,-1.632943,-1.413730,,,
